Time (UTC),Open,High,Low,Close,Volume 
2015.06.02 13:00:00,0.76859,0.77819,0.76848,0.77775,37961.34
2015.06.02 17:00:00,0.77771,0.7791,0.7769,0.77733,17135.34
2015.06.02 21:00:00,0.77733,0.77783,0.7757,0.77618,14855.29
2015.06.03 01:00:00,0.77614,0.78196,0.77609,0.77928,20911.28
2015.06.03 05:00:00,0.77927,0.78128,0.77725,0.77748,26345.62
2015.06.03 09:00:00,0.77748,0.7781,0.77518,0.7761,27540.08
2015.06.03 13:00:00,0.7761,0.78146,0.77582,0.7785,31160.97
2015.06.03 17:00:00,0.7785,0.77899,0.77687,0.77875,13692.85
2015.06.03 21:00:00,0.77875,0.77883,0.77655,0.77723,11617.11
2015.06.04 01:00:00,0.77725,0.77803,0.77095,0.77293,18970.36
2015.06.04 05:00:00,0.77292,0.77635,0.77093,0.77504,30610.85
2015.06.04 09:00:00,0.77508,0.77622,0.77225,0.77234,26620.66
2015.06.04 13:00:00,0.77234,0.77244,0.76648,0.76853,25578.86
2015.06.04 17:00:00,0.76853,0.76938,0.76705,0.76898,12618.86
2015.06.04 21:00:00,0.76873,0.76932,0.76723,0.76919,13102.6
2015.06.05 01:00:00,0.7692,0.77079,0.76859,0.77028,10507.28
2015.06.05 05:00:00,0.77027,0.7707,0.76786,0.76959,19121.88
2015.06.05 09:00:00,0.76957,0.77409,0.76208,0.76209,22854.67
2015.06.05 13:00:00,0.76208,0.76614,0.75994,0.76252,29378.04
2015.06.05 17:00:00,0.76251,0.76334,0.76123,0.76214,9703.42
2015.06.07 21:00:00,0.76271,0.76314,0.76096,0.76105,9397.81
2015.06.08 01:00:00,0.76105,0.76436,0.76068,0.76109,12094.69
2015.06.08 05:00:00,0.76108,0.76551,0.76038,0.76348,24353.13
2015.06.08 09:00:00,0.76348,0.76493,0.76316,0.76445,16970.9
2015.06.08 13:00:00,0.76443,0.76602,0.76315,0.76499,17897.07
2015.06.08 17:00:00,0.76501,0.77134,0.76487,0.77043,15946.79
2015.06.08 21:00:00,0.77044,0.77082,0.76786,0.76882,11562.84
2015.06.09 01:00:00,0.76886,0.77237,0.76844,0.76904,15490.37
2015.06.09 05:00:00,0.76904,0.77016,0.7647,0.76694,25298.75
2015.06.09 09:00:00,0.76694,0.77164,0.76648,0.76818,27775.29
2015.06.09 13:00:00,0.7682,0.77113,0.76686,0.76734,24802.03
2015.06.09 17:00:00,0.76734,0.76952,0.76714,0.76922,10302.24
2015.06.09 21:00:00,0.76922,0.77041,0.7675,0.7683,12431.73
2015.06.10 01:00:00,0.76828,0.77014,0.76366,0.76938,22161.7
2015.06.10 05:00:00,0.76939,0.77859,0.76869,0.77651,35002.83
2015.06.10 09:00:00,0.77651,0.77771,0.7728,0.77473,24955.11
2015.06.10 13:00:00,0.77472,0.77718,0.77425,0.77547,27494.43
2015.06.10 17:00:00,0.77547,0.77681,0.77521,0.77607,12123.96
2015.06.10 21:00:00,0.77609,0.77762,0.77015,0.77216,14347.37
2015.06.11 01:00:00,0.77215,0.77939,0.77097,0.77673,18275.28
2015.06.11 05:00:00,0.77672,0.77719,0.7738,0.77479,24785.41
2015.06.11 09:00:00,0.7748,0.77564,0.76939,0.77427,25977.79
2015.06.11 13:00:00,0.77429,0.77441,0.77148,0.77289,24394.02
2015.06.11 17:00:00,0.7729,0.77691,0.77269,0.77558,10766.06
2015.06.11 21:00:00,0.7756,0.77597,0.77378,0.77528,13266.3
2015.06.12 01:00:00,0.77528,0.77585,0.77366,0.77366,12681.49
2015.06.12 05:00:00,0.77366,0.77468,0.76788,0.76866,21466.2
2015.06.12 09:00:00,0.76865,0.77214,0.76804,0.77,24158.32
2015.06.12 13:00:00,0.77,0.77552,0.76902,0.77445,23588.36
2015.06.12 17:00:00,0.77445,0.77498,0.77246,0.77324,10228.99
2015.06.14 21:00:00,0.77563,0.77656,0.77128,0.77156,8207.7
2015.06.15 01:00:00,0.77155,0.77241,0.77108,0.77125,12639.72
2015.06.15 05:00:00,0.77122,0.77342,0.77043,0.77169,21622.65
2015.06.15 09:00:00,0.77169,0.77716,0.77152,0.7765,19591.33
2015.06.15 13:00:00,0.7765,0.77775,0.77543,0.77706,17439.93
2015.06.15 17:00:00,0.77705,0.7771,0.77542,0.77669,10224.47
2015.06.15 21:00:00,0.77671,0.77684,0.77481,0.77543,11048.43
2015.06.16 01:00:00,0.77541,0.77812,0.77444,0.77603,14035.37
2015.06.16 05:00:00,0.77604,0.77614,0.77223,0.77278,17756.88
2015.06.16 09:00:00,0.77277,0.77536,0.77257,0.77515,15695.79
2015.06.16 13:00:00,0.77515,0.77708,0.7748,0.77493,16942.98
2015.06.16 17:00:00,0.77492,0.77544,0.77397,0.77529,9472.59
2015.06.16 21:00:00,0.77531,0.7758,0.77402,0.77477,7954.5
2015.06.17 01:00:00,0.77479,0.77497,0.77161,0.77226,10956.62
2015.06.17 05:00:00,0.77226,0.77289,0.76817,0.76832,18267.03
2015.06.17 09:00:00,0.76832,0.76912,0.76706,0.7685,17140.32
2015.06.17 13:00:00,0.76851,0.76998,0.7661,0.76672,16603.74
2015.06.17 17:00:00,0.76671,0.77703,0.76477,0.77506,28934.32
2015.06.17 21:00:00,0.77507,0.77573,0.77111,0.77311,13421.2
2015.06.18 01:00:00,0.7731,0.77416,0.77152,0.77242,13692.54
2015.06.18 05:00:00,0.77242,0.77951,0.77199,0.7789,25209.6
2015.06.18 09:00:00,0.7789,0.78498,0.77824,0.78322,26193.82
2015.06.18 13:00:00,0.78324,0.7849,0.78061,0.78125,22393.38
2015.06.18 17:00:00,0.78123,0.78184,0.77935,0.7801,12557.44
2015.06.18 21:00:00,0.78003,0.78159,0.77813,0.7804,12510.12
2015.06.19 01:00:00,0.78039,0.78086,0.77633,0.77684,12791.9
2015.06.19 05:00:00,0.77683,0.77746,0.77546,0.77697,19521.02
2015.06.19 09:00:00,0.77697,0.77739,0.7737,0.77469,17578.05
2015.06.19 13:00:00,0.77469,0.77719,0.77433,0.77572,15350.02
2015.06.19 17:00:00,0.77572,0.77804,0.77569,0.77727,8696.84
2015.06.21 21:00:00,0.77687,0.77767,0.77619,0.77732,6926.75
2015.06.22 01:00:00,0.77732,0.77892,0.77726,0.77819,10270.09
2015.06.22 05:00:00,0.77819,0.7797,0.77648,0.77757,19522.25
2015.06.22 09:00:00,0.77755,0.77798,0.77528,0.77735,19522.73
2015.06.22 13:00:00,0.77735,0.77816,0.77236,0.77326,19987.11
2015.06.22 17:00:00,0.77326,0.77372,0.77216,0.77287,9036.13
2015.06.22 21:00:00,0.77295,0.77397,0.7723,0.77302,10159.9
